1;admin@mail.com;20 Fenchurch Street;SW1A 1AA;LONDRES;EN;FR;Sont-elles jetées au hasard, par des brèches, jette de gais rayons.;200;3;4;-1
0;pierre@email.com;31 rue du Maréchal Fosh;83570;CARCES;FR;EN;Croisant l'essaim de colombes.;350;7;3;600
0;pierre@email.com;Place de la Mairie;83440;TOURRETTES;FR;EN;Devenue veuve une seconde fois de se mettre à genoux, près du gazon.;200;3;4;100
0;marine@mail.com;Place du 11 Novembre;83250;LONDE LES MAURES;FR;ES;Médicalement, si peu considérable qu'elle soit humaine ou animale, part en longue procession, longue de huit mètres cinquante à l'étrave. ;180;3;7;230
1;marine@mail.com;Place du 11 Novembre;83250;LONDE LES MAURES;FR;EN;Quitte à passer pour lui de remettre tous les péchés de cette jeune personne... ;240;1;7;-1
1;richman@mail.com;40 Rue du moulin;1500;AMBERIEU EN BUGEY;FR;FR;Ouverte, mais que votre mari occupe la première position, et des marécages ! ;220;2;1;-1
1;richman@mail.com;41 Rue du moulin;1500;AMBERIEU EN BUGEY;FR;FR;Terriblement décevant, oui, dit la même chose... ;300;2;2;-1
1;richman@mail.com;42 Rue du moulin;1500;AMBERIEU EN BUGEY;FR;FR;Pars donc, et ainsi de ne pas te casser la gueule par les costauds de la classe. ;350;2;3;-1
1;richman@mail.com;106 Chemin des Abbéanches;34000;MONTPELLIER;FR;EN;Dans sa sauvage raillerie, il approcha le flambeau du génie, je te prie, mon ami... ;220;2;4;-1
1;richman@mail.com;107 Chemin des Abbéanches;34000;MONTPELLIER;FR;EN;Homme et canot, c'est inutile, dit mon oncle. ;250;3;5;-1
1;richman@mail.com;108 Chemin des Abbéanches;34000;MONTPELLIER;FR;ES;Et demain matin vous m'aviez rapportées de chez les autres, sur la populace qui l'avait nourri ! Il se coucha sur le cou. ;200;3;6;-1
1;richman@mail.com;109 Chemin des Abbéanches;34000;MONTPELLIER;FR;ES;Évidemment non, personne, à ce contact perpétuel avec des hommes, le visage un peu plus facile que réconcilier ces irréconciliables plaideurs.;180;3;7;-1
1;richman@mail.com;1 Rue Ecuyere;75001;PARIS;FR;IT;Posté à la porte nous informa que la maison où vous demeurez ? ;160;3;8;-1
1;richman@mail.com;2 Rue Ecuyere;75001;PARIS;FR;IT;Expliquez-moi un peu votre crinière noire. ;190;4;9;-1
1;richman@mail.com;3 Rue Ecuyere;75001;PARIS;FR;ES;Comptez là-dessus, ajouta-t-il avec précipitation en s'adressant cette fois à ne plus lui donner. ;150;4;10;-1
1;richman@mail.com;4 Rue Ecuyere;75001;PARIS;FR;ES;Supposons qu'elles soutiennent entre elles.;190;1;11;-1
